id,loan_amount,term,base_rate,employment_length,annual_income,debt_to_income,credit_score,interest_rate,probability,predicted,actual,decision_reason
1,40581.311290499434,48,7.209986384874313,11,73882.28397150047,21.798048923383536,658.0687738242146,9.347279135866001,0.5686214849397242,1,0,Standard risk assessment
2,95317.85910894204,24,9.135555933496208,24,152438.59981006983,33.207109436839644,663.1405740040545,11.33622128782406,0.8107603261219511,1,0,High debt-to-income ratio; Large loan amount
3,74539.42447208348,60,11.205970923217286,10,189756.3999070968,28.225459585635804,708.3711486008624,12.90451403306502,0.6941711488954492,1,0,Standard risk assessment
4,61872.555998718475,36,10.428932240444986,15,136170.96476754837,12.035042901645483,584.3050836710942,13.206231832750499,0.7170925473065071,1,1,Low credit score
5,19821.770842031467,36,7.055374161932399,18,125652.47047174964,20.670289240254068,582.9275243917674,9.932801810417265,0.5920013113198535,1,0,Low credit score
6,19819.479431939253,36,6.490048417017411,10,121249.0503958855,29.651635116139584,778.578519901322,7.500779569165586,0.38708420824169903,0,0,Standard risk assessment
7,10517.943155978948,12,5.158017649596427,22,89619.62046787029,16.571597277855656,798.2162602616401,5.841571019758584,0.24983691805217395,0,0,Standard risk assessment
8,87286.73384861884,12,6.351840760583714,3,170711.43884332353,11.765576642489153,635.1143474434672,8.618353052573934,0.6743612949665467,1,1,Low credit score; Large loan amount
9,62105.92611560484,36,3.9994174856270845,11,121930.46450016406,23.895132303865328,740.3468075333319,5.334900733332418,0.4987623301624268,0,1,Standard risk assessment
10,72266.89489062432,48,11.739949575282791,27,69117.54048503286,14.577685379436874,638.3221055874432,14.002505373202728,0.7115868436701569,1,1,Low credit score
11,6955.526958101233,48,8.16525699563621,16,53261.305387893284,25.80197577907372,778.2376214631026,9.14090053879592,0.35149110977239273,0,0,Standard risk assessment
12,97141.43595538946,12,4.150252585156916,23,197537.12752651775,14.510704046411567,693.5396478211082,5.85996314740995,0.6159555058180164,1,0,Large loan amount
13,84082.05087604007,36,6.175254083393152,12,32970.44655374031,36.730273398081316,802.1437996694725,7.0211188206792405,0.5826859931503917,1,0,High debt-to-income ratio; Large loan amount
14,25172.215514436233,48,7.9233522925859035,27,188684.80509826684,17.036570442978903,836.1056665953845,8.232661331061848,0.28590646473304515,0,0,Standard risk assessment
15,22273.371884674558,12,7.795970729767827,3,67111.56120065285,36.76076408976366,729.9720279552446,9.363858091113018,0.5088397907007438,1,0,High debt-to-income ratio
16,22423.428436076214,36,3.319530318467691,26,141783.4205558801,14.781863280651393,823.1802298287352,3.7355466529868537,0.22078663505271573,0,1,Standard risk assessment
17,33903.01308115608,24,11.557569308062002,5,81260.52935168231,26.155908517999634,589.1236290281906,14.427892102960092,0.7147231109527226,1,1,Low credit score
18,54851.861005062594,36,5.478381133274501,6,176167.77001956865,9.5576427103416,704.9266441780782,7.0246911185971355,0.4671989623947707,0,1,Standard risk assessment
19,46034.776771000994,36,3.1456620203870207,7,122385.70477087343,32.24301466876264,715.943831170021,4.808653855374438,0.5123860870951187,1,0,High debt-to-income ratio
20,32666.76831881398,60,3.6879960805525425,25,53979.818516893945,12.00762014398363,692.2693964171327,5.3853783178210515,0.40509967611716,0,0,Standard risk assessment
21,63126.02499862605,60,8.221754129231792,1,75871.95007634707,35.24072040810822,665.0074133638686,10.424087199674188,0.7101168248499988,1,1,High debt-to-income ratio
22,18251.916761943976,24,4.240069686075872,8,84454.1575068591,20.835606234793346,775.1997749824666,5.196427998599139,0.3113308492383799,0,0,Standard risk assessment
23,32753.741610845726,24,3.3755231356815294,9,180606.80194631658,8.308884411481952,729.2241992665345,4.666369987131005,0.336219247533322,0,0,Standard risk assessment
24,39804.375112900714,36,6.416638197714402,28,160345.53118002327,17.72384643004389,602.2524251149913,9.071352410864927,0.6042588061726858,1,1,Low credit score
25,48326.648500618416,48,8.604850731061697,18,171029.84314384742,32.290407393586634,836.6923755143218,9.060831049854345,0.4420293125630443,0,0,High debt-to-income ratio
26,79591.71633233629,24,4.006558243574512,0,38882.87193304692,7.6703242544954815,819.6296694512591,4.386964791606875,0.3693644458784011,0,1,Standard risk assessment
27,23969.009305044176,36,5.81995048936184,15,128392.97493045482,26.900519991163012,675.4364542418697,7.834591146854773,0.504830338449156,1,0,Standard risk assessment
28,53852.2716492931,12,6.75984604462088,17,199860.0781874899,22.754317788136767,646.4731610487803,9.022657612014443,0.6217714375501109,1,0,Low credit score
29,61279.38404189403,60,4.435140880080905,7,163483.93863906342,15.845436256029531,749.6874429385894,5.596720813255306,0.4491466743174679,0,0,Standard risk assessment
30,9412.789208399783,48,7.554665086200391,9,50520.305836285464,31.446608395504448,591.6930547675157,10.452200622480278,0.6118418014941078,1,0,Low credit score; High debt-to-income ratio
31,62716.76093063664,36,3.766926782115938,21,145399.0884592493,6.8354258174927,713.9182738586805,5.196098301704059,0.4428106405035602,0,0,Standard risk assessment
32,21199.791750292694,12,3.418666467105618,10,156705.04955218115,22.4174640718798,761.6088420348232,4.526752687476184,0.3342557958490449,0,0,Standard risk assessment
33,11179.901333601554,60,7.6785183043962135,16,117422.22050663947,22.740210048146203,689.8050209051804,9.507870195825872,0.45200677806901357,0,0,Standard risk assessment
34,95144.12603906666,12,5.23107275475788,26,43388.03512148514,8.02421453931345,842.5187175517326,5.386127724633688,0.4056810231958468,0,1,Large loan amount
35,96735.04314208314,36,3.8583642710822477,24,35896.65998508068,9.760795326479494,774.0935312149268,4.715036912197775,0.4862167857602542,0,1,Large loan amount
36,81797.7480710638,24,6.815213287388691,6,189427.64853068956,19.33790426129535,832.1980237250398,7.186612092751246,0.45768423372852945,0,0,Large loan amount
37,33938.308071470216,60,11.236266655656552,25,73777.37413136516,23.77828825924719,825.1306228663793,11.72274330958523,0.4046422508980282,0,1,Standard risk assessment
