id,loan_amount,term,base_rate,employment_length,annual_income,debt_to_income,credit_score,interest_rate,probability,predicted,actual,decision_reason,payment_to_income,credit_utilization
1,-0.4159001760417578,48,7.209986384874313,11,-0.8343065171582403,-0.07544888542806229,-0.7482879066884005,9.347279135866,0.5686214849397242,1,0,Standard risk assessment,0.1498501253366915,-0.0007544888542806229
2,1.5873774548175776,24,9.135555933496208,24,0.7627513272827441,1.0592500235623914,-0.6833662349248183,11.33622128782406,0.8107603261219511,1,0,High debt-to-income ratio; Large loan amount,1.1678605191017823,0.010592500235623914
3,0.8269171230780101,60,11.205970923217286,10,1.5214259767496412,0.5637953238115607,-0.10439143041174341,12.90451403306502,0.6941711488954492,1,0,Standard risk assessment,0.14808089897167526,0.005637953238115607
4,0.36332825463315604,36,10.428932240444986,15,0.4320286619206017,-1.046437887394321,-1.6925013832419356,13.2062318327505,0.7170925473065071,1,1,Low credit score,0.3410353409509401,-0.01046437887394321
5,-1.1756690081076222,36,7.055374161932399,18,0.21818660927987218,-0.18761129183664943,-1.7101348562093488,9.932801810417264,0.5920013113198535,1,0,Low credit score,-2.0843690562189416,-0.0018761129183664943
6,-1.1757528703671876,36,6.490048417017411,10,0.12866463387334567,0.7056369606915549,0.7942993210634592,7.500779569165586,0.387084208241699,0,0,Standard risk assessment,-3.411067530795404,0.007056369606915549
7,-1.5161755001622594,12,5.158017649596427,22,-0.5143648748619899,-0.5952505792728219,1.0456725788110202,5.841571019758584,0.2498369180521739,0,0,Standard risk assessment,3.041765205556041,-0.0059525057927282184
8,1.2934500109824363,12,6.351840760583714,3,1.1342399925383153,-1.0732379091764654,-1.0421164650247117,8.618353052573934,0.6743612949665467,1,1,Low credit score; Large loan amount,1.1943009603095172,-0.010732379091764655
9,0.3718692597476939,36,3.999417485627085,11,0.14251785151643295,0.13311852650635558,0.30491358162119797,5.334900733332418,0.4987623301624268,0,1,Standard risk assessment,0.9431455752373709,0.0013311852650635559
10,0.7437458626049596,48,11.739949575282791,27,-0.9311742340385684,-0.7935569738344463,-1.00105549772794,14.002505373202728,0.7115868436701569,1,1,Low credit score,-0.2619259144682348,-0.007935569738344464
11,-1.6465547251124828,48,8.16525699563621,16,-1.2535330969112346,0.3227654486506128,0.7899356443163413,9.14090053879592,0.3514911097723927,0,0,Standard risk assessment,0.393302749332131,0.003227654486506128
12,1.6541177015126802,12,4.150252585156916,23,1.6796089560226302,-0.8002186656903971,-0.2942423297456579,5.85996314740995,0.6159555058180164,1,0,Large loan amount,1.0163619941516533,-0.008002186656903972
13,1.1761632991083677,36,6.175254083393152,12,-1.6660483087768374,1.4096496290601799,1.0959471194538817,7.0211188206792405,0.5826859931503917,1,0,High debt-to-income ratio; Large loan amount,-0.26165771448494546,0.0140964962906018
14,-0.9798505549064581,48,7.923352292585903,27,1.4996403459288041,-0.5490062331627353,1.5306766235472624,8.232661331061848,0.2859064647330451,0,0,Standard risk assessment,-0.19227146880486737,-0.005490062331627354
15,-1.085943993939601,12,7.795970729767827,3,-0.9719559957302525,1.4126821096527327,0.1721110242441516,9.363858091113018,0.5088397907007438,1,0,High debt-to-income ratio,1.1747536410167991,0.014126821096527327
16,-1.0804521435257988,36,3.319530318467691,26,0.5461304556166414,-0.7732502674693758,1.365224331775027,3.7355466529868537,0.2207866350527157,0,1,Standard risk assessment,-0.6981255922162534,-0.007732502674693758
17,-0.6603161275073313,24,11.557569308062002,5,-0.6843060425071054,0.3579661641031754,-1.6308215045087744,14.427892102960092,0.7147231109527226,1,1,Low credit score,0.5582997130331765,0.0035796616410317538
18,0.10638108141120521,36,5.478381133274501,6,1.2451677570836552,-1.2928300676172042,-0.1484828728177541,7.024691118597136,0.4671989623947707,0,1,Standard risk assessment,0.03166744423404454,-0.012928300676172042
19,-0.21631131187025116,36,3.1456620203870207,7,0.15177293225285543,0.9633650661454207,-0.007457167488902042,4.808653855374438,0.5123860870951187,1,0,High debt-to-income ratio,-0.5111169946327785,0.009633650661454208
20,-0.7055608785442703,60,3.6879960805525434,25,-1.2389256523441745,-1.0491652437058872,-0.31050220627508607,5.385378317821052,0.40509967611716,0,0,Standard risk assessment,0.13017474796016754,-0.010491652437058872
21,0.40920338758489844,60,8.221754129231792,1,-0.7938564040560233,1.2615047269788475,-0.65946972326118,10.424087199674188,0.7101168248499988,1,1,High debt-to-income ratio,-0.13271916112712737,0.012615047269788475
22,-1.2331233724709685,24,4.240069686075872,8,-0.6193792591796661,-0.17116953371642088,0.7510496344005813,5.196427998599139,0.3113308492383799,0,0,Standard risk assessment,1.0502265490757514,-0.0017116953371642087
